タスク大分類,タスク大分類説明,タスク中分類,タスク小分類,評価項目,評価項目説明,表示順,作成日,変更日,削除日,最終更新日,重複対象タスク中分類識別子,重複対象タスク小分類識別子,重複対象評価項目識別子,営農１年目,営農２年目,営農,農場長,営業,事務,総務,顧問,管理者
露地野菜作＞キャベツ,,耕耘,畝たて（うねたて）,管理機を操作する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,施肥,肥料撒き,肥料撒きを行う目的を理解する圃場状況と施肥設計を確認し、肥料撒きを行うか判断する,,21,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,肥料撒き,肥料散布機を操作する,,22,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,肥料撒き,サンパーで手撒きする,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,施肥,肥料撒き,ドローンを操作する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,施肥,肥料攪拌,肥料攪拌を行う目的を理解する,,23,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,肥料攪拌,ロータリーを操作する,,24,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,肥料攪拌,圃場に適したロータリーを選択する,,25,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,堆肥撒き,堆肥撒きを行う目的を理解する圃場状況と施肥設計を確認し、堆肥撒きを行うか判断する,,26,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,堆肥撒き,マニュアスを操作する,,27,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,堆肥撒き,スコップ等の道具を使い、手撒きする,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,施肥,葉面散布,葉面散布をする目的を理解する圃場状況を確認し、葉面散布を行うか判断する,,28,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,葉面散布,葉面散布剤の知識がある,,29,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,施肥,葉面散布,ブームを操作する,,30,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,マルチ張り,マルチ張り,圃場に合わせてマルチャーを設定、操作する圃場状況と播種定植計画を確認し、マルチ張りを行うか判断する,,31,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,マルチ張り,マルチ張り,マルチの種類、色の違い、適切な畝の状態を理解するマルチャーを操作する,,32,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,マルチ張り,マルチ張り,マルチをかける圃場状態を把握する,,33,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,定植,ローラーをかける,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,定植,定植,穴あけ機を使用する,,34,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,穴あけ,穴の適切な深さを理解する,,35,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,定植,定植に適した土壌状態を理解する圃場状況と播種定植計画を確認し、定植を行うか判断する,,36,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,定植,圃場状況を確認し、潅水を行うか判断する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,定植,定植,潅水潅注をする,,37,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,定植,適切な土寄せを理解し、定植する,,38,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,定植,定植,移植機を操作する,,39,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,被覆,被覆資材をかける,,40,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,定植,被覆,外気温の予測をもとに天気予報を確認し、被覆を行うかするかしないか判断する,,41,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,土寄せ,土寄せ,土寄せを行う目的を理解する圃場状況を確認し、土寄せを行うか判断する,,42,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,土寄せ,土寄せ,管理機を操作する,,43,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,土寄せ,土寄せ,乗用管理機を操作する,,44,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,圃場状況を確認し、除草を行うか判断する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,除草,除草,草刈り機を操作する（草刈りルールあり）,,45,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,手竿を操作する除草剤を撒く（手竿・背負い動噴）,,46,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,除草剤の知識がある背負い動噴を操作する,,47,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,ブームを操作するで除草剤を撒く（ブーム）,,48,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,草取りをする,,49,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,スパイダーモアを操作する,,50,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,除草,除草,フレールモアを操作するトラクターを操作し、草を刈る,,51,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,農薬の知識がある（有効成分、カウント数等）,,52,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,防除タイミングを理解する圃場状況と防除ローテーションを確認し、防除を行うか判断する,,53,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,ブームを操作する,,54,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,ドローンを操作する,,55,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,圃場状況を理解する,,56,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,防除,防除,IPM（総合的有害生物管理）の知識がある,,57,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,追肥,追肥,追肥をする目的を理解する圃場状況と施肥設計を確認し、追肥を行うか判断する,,58,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,追肥,追肥,追肥の種類を理解し適切な時期に適量を追肥する追肥機やじょうろを使い、手撒きする,,59,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,追肥,追肥,ドローンを操作する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,潅水,潅水,圃場状態によって潅水必要量（必要時間）を把握する (ブーム）圃場状況と天気予報を確認し、潅水を行うか判断する,,60,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,潅水,潅水,ブームを操作する,,61,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,潅水,潅水,汲み上げ動噴、スミレイン・レインガンを操作する使って潅水する,,62,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,潅水,潅水,圃場状態によって潅水必要量（必要時間）を把握する(スミレイン・レインガン),,63,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,収穫後作業,マルチ剥ぎ,マルチ回収機を操作する,,64,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,収穫後作業,マルチ剥ぎ,マルチが容易なタイミングを理解する圃場状況を確認し、マルチ剥ぎを行うか判断する,,65,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,収穫後作業,マルチ剥ぎ,マルチを剥ぐ,,66,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,収穫後作業,マルチ剥ぎ,マルチを手で集める,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,収穫後作業,マルチ剥ぎ,マルチを作業車に積み、回収場所へ運ぶ,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,収穫後作業,残渣処理,圃場回転を理解する,,67,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,収穫後作業,残渣処理,ロータリー・ディスクハローを操作する,,68,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,収穫準備,圃場を回り、生育状況を確認する,,,,,,,,,,,,,,,,,,
露地野菜作＞収穫・調整・出荷,,収穫,収穫準備,生育状況をから収穫予定を立てる,,,,,,,,,,,,,,,,,,
露地野菜作＞収穫・調整・出荷,,収穫,収穫準備,収穫予定、2週間前に生育状況を報告する,,,,,,,,,,,,,,,,,,
露地野菜作＞収穫・調整・出荷,,収穫,収穫準備,収穫物の規格を理解している収穫前日までに収穫計画を班員に共有する,,69,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,収穫準備,収穫に使用する車、機械を運転操作する,,70,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,切り,包丁の管理を行う,,71,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,切り,早く、きれいに作物を切る,,72,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,箱詰め,規格に沿った荷づめ箱詰めをする,,73,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,収穫,切り口洗浄,適切なタイミングで切り口を洗浄する,,74,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,運搬,トラックへの積み込み,積み込み道具を使う運搬機を操作する,,75,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,運搬,トラックへの積み込み,効率の良い積み込み作業をする,,76,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,運搬,集荷場持ち込み,収穫物を積んだ状態で圃場から集荷場まで運転する,,77,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞収穫・調整・出荷,,運搬,集荷場持ち込み,集荷場で収穫物を下す,,,,,,,,,,,,,,,,,,
露地野菜作＞収穫・調整・出荷,,運搬,集荷場持ち込み,フォークリフトを操作する,,,,,,,,,,,,,,,,,,
露地野菜作＞収穫・調整・出荷,,運搬,集荷場持ち込み,伝票を記入する集荷場で収穫物の個数を登録する,,78,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ロータリー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,オペレーター重要タスク 公道走行時は要大型特殊免許,79,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ロータリー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,オペレーター重要タスク 公道走行時は要大型特殊免許,80,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ロータリー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,81,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ロータリー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,要準中・中型免許 もしくは 要免許区分確認,82,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞マニュアスプレッター,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,83,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞マニュアスプレッター,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,84,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞マニュアスプレッター,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,85,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞マニュアスプレッター,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,86,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ブロードキャスター,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,87,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ブロードキャスター,備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,88,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ブロードキャスター,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,89,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ブロードキャスター,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,90,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞オフセットモア,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,91,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞オフセットモア,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,92,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞オフセットモア,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,93,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞オフセットモア,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,94,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ディスクハロー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,95,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ディスクハロー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,96,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地栽培,,除草,除草畦畔除草（けいはんじょそう）,畦畔の除草剤の知識がある,,96,2024/4/8,2024/4/8,,,,,,◎,◎,,,◎,◎,,,
露地栽培,,除草,畝間除草（うねまじょそう）,除草剤を撒く（手竿・背負い動噴・ブーム）,,97,2024/4/8,2024/4/8,,,,,,◎,◎,,,◎,◎,,,
機械管理＞大型,,トラクター＞ディスクハロー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,97,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＞ディスクハロー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,98,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,フォークリフト,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,99,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,◎,,,◎,◎
機械管理＞大型,,フォークリフト,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,100,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,◎,,,◎,◎
機械管理＞大型,,フォークリフト,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,101,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,◎,,,◎,◎
機械管理＞大型,,トラクター,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,102,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,103,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,104,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,105,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ブーム,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,106,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ブーム,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,107,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ブーム,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,108,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ブーム,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,109,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ディスクティラー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,110,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ディスクティラー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,111,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ディスクティラー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,112,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ディスクティラー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,113,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ライムソア,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,114,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ライムソア,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,115,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ライムソア,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,116,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ライムソア,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,117,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜サブソイラ,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,118,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜サブソイラ,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,119,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜サブソイラ,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,120,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜サブソイラ,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,121,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜リバーシブルプラウ,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,122,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜リバーシブルプラウ,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,123,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜リバーシブルプラウ,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,124,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜リバーシブルプラウ,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,125,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ストーンピッカー,点検・清掃・保管,重要な点検部分を理解し点検する。また使用後に決められた手順で清掃し、正しく保管する。,,126,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ストーンピッカー,整備・簡易的な修繕,点検で異常が見つかった個所を把握し、マニュアルに従って整備、修繕を行う。,,127,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ストーンピッカー,アタッチメントの脱着,アタッチメントを正しく、安全に脱着する,,128,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
機械管理＞大型,,トラクター＜ストーンピッカー,積載車による運搬,機械を安全に積載車に乗せ作業場所まで運搬する。,,129,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
